locaties,locations,De locaties zijn geheim,The locations are secret
hoeken,corners,De hoeken van de kamer zijn stoffig,The corners of the room are dusty
Pascal,Pascal,Pascal is een programmeertaal,Pascal is a programming language
trage,slow,De trage schildpad wint,The slow turtle wins
ruimtes,spaces,De ruimtes zijn groot,The spaces are large
Vera,Vera,Vera is een mooie naam,Vera is a beautiful name
econoom,economist,De econoom analyseert de markt,The economist analyzes the market
stadsbestuur,city council,Het stadsbestuur vergadert,The city council meets
brochures,brochures,De brochures zijn informatief,The brochures are informative
kennismaking,introduction,De kennismaking was aangenaam,The introduction was pleasant
Japans,Japanese,Japans eten is lekker,Japanese food is tasty
tegenstellingen,contradictions,Er zijn tegenstellingen in het verhaal,There are contradictions in the story
patrimonium,patrimony,Het cultureel patrimonium is waardevol,The cultural patrimony is valuable
gemeentehuis,town hall,Het gemeentehuis is in het centrum,The town hall is in the center
sculpturen,sculptures,De sculpturen zijn van marmer,The sculptures are made of marble
portefeuilles,portfolios,De portefeuilles zijn gediversifieerd,The portfolios are diversified
Monetair,Monetary,Het monetair beleid is belangrijk,Monetary policy is important
BNP,BNP,BNP Paribas is een Franse bank,BNP Paribas is a French bank
Consulting,consulting,Hij werkt in consulting,He works in consulting
Eaux,Eaux,Eaux is Frans voor water,Eaux is French for water
Nijmegen,Nijmegen,Nijmegen is een oude stad,Nijmegen is an old city
koe,cow,De koe eet gras,The cow eats grass
criminele,criminal,De criminele activiteiten zijn gestopt,The criminal activities have stopped
voorlichting,education,De voorlichting over gezondheid is belangrijk,Health education is important
automobilisten,motorists,De automobilisten rijden voorzichtig,The motorists drive carefully
geduurd,lasted,De reis heeft lang geduurd,The trip lasted a long time
staart,tail,De hond kwispelt met zijn staart,The dog wags its tail
Tevens,also,Tevens is er een korting,Also there is a discount
Citibank,Citibank,Citibank is een Amerikaanse bank,Citibank is an American bank
Hilde,Hilde,Hilde is een meisjesnaam,Hilde is a girl's name
mentale,mental,Mentale gezondheid is belangrijk,Mental health is important
databank,database,De databank bevat veel informatie,The database contains a lot of information
aandringen,insist,Ik aandringen op een antwoord,I insist on an answer
Ralph,Ralph,Ralph is een Engelse naam,Ralph is an English name
Politiek,politics,Politiek is interessant,Politics is interesting
This,this,This is my house,This is my house
opnames,recordings,De opnames zijn van hoge kwaliteit,The recordings are of high quality
Greenspan,Greenspan,Greenspan was voorzitter van de Fed,Greenspan was chairman of the Fed
KKK,KKK,De KKK is een racistische organisatie,The KKK is a racist organization
Technologies,technologies,New technologies are emerging,New technologies are emerging
uitziet,looks,Waar ziet hij naar uit,What is he looking forward to
vervangt,replaces,Hij vervangt de oude machine,He replaces the old machine
achtste,eighth,Hij is de achtste in de rij,He is the eighth in line
uitbrengen,release,Zij brengen een nieuw album uit,They release a new album
high,high,The price is too high,The price is too high
plaatsing,placement,De plaatsing van de advertentie is gebeurd,The placement of the advertisement is done
onzekere,uncertain,De toekomst is onzeker,The future is uncertain
Inderdaad,indeed,Inderdaad, dat klopt,Indeed, that is correct
eenzaamheid,loneliness,Eenzaamheid is een probleem,Loneliness is a problem
compensatie,compensation,Hij kreeg compensatie,He received compensation
linnen,linen,Het linnen is wit,The linen is white
andermaal,once again,Andermaal bedankt,Thank you once again
moraal,morale,De moraal is hoog,The morale is high
critici,critics,De critici zijn positief,The critics are positive
portie,portion,De portie is groot,The portion is large
beloven,promise,Ik beloof het,I promise
waarborg,guarantee,De waarborg is geldig,The guarantee is valid
geallieerde,allied,De geallieerde troepen arriveerden,The allied troops arrived
years,years,Many years ago,Many years ago
referenties,references,De referenties zijn goed,The references are good
Jean-Claude,Jean-Claude,Jean-Claude is een Franse naam,Jean-Claude is a French name
calls,calls,He makes calls all day,He makes calls all day
LHSP,LHSP,LHSP is een afkorting,LHSP is an abbreviation
Vrije,free,De vrije markt is competitief,The free market is competitive
omschrijving,description,De omschrijving is duidelijk,The description is clear
koek,cookie,De koek is lekker,The cookie is tasty
maag,stomach,Heb je pijn in je maag,Do you have pain in your stomach
tranen,tears,De tranen rollen over haar wangen,Tears roll down her cheeks
teruggevonden,found back,De sleutels zijn teruggevonden,The keys were found back
inkopen,shopping,We doen inkopen,We do shopping
Moeder,mother,Moeder kookt het eten,Mother cooks the food
controles,checks,De controles zijn streng,The checks are strict
your,your,Is this your pen,Is this your pen
onmogelijke,impossible,Het is onmogelijk,It is impossible
Central,central,The central station is busy,The central station is busy
Honderden,hundreds,Honderden mensen kwamen opdagen,Hundreds of people showed up
blues,blues,Hij luistert naar blues,He listens to blues
Stockholm,Stockholm,Stockholm is de hoofdstad van Zweden,Stockholm is the capital of Sweden
dl,dl,Voeg 5 dl water toe,Add 5 dl of water
zestiende,sixteenth,De zestiende eeuw was de renaissance,The sixteenth century was the Renaissance
gangbare,common,Dat is gangbaar,That is common
hulpverlening,aid,De hulpverlening is gestart,The aid has started
omschrijft,describes,Hij omschrijft de situatie,He describes the situation
ideologische,ideological,De ideologische verschillen zijn groot,The ideological differences are large
begeleidt,accompanies,Hij begeleidt de groep,He accompanies the group
staf,staff,De staf werkt hard,The staff works hard
fier,proud,Hij is fier op zijn werk,He is proud of his work
Andriessen,Andriessen,Meneer Andriessen is de minister,Mr. Andriessen is the minister
speel,play,Speel de piano,Play the piano
Weg,road,De weg is lang,The road is long
werven,recruit,Zij werven nieuw personeel,They recruit new staff
inzien,realize,Ik zie het nu in,I realize it now
bezorgdheid,concern,Er is bezorgdheid over de toekomst,There is concern about the future
verkiezing,election,De verkiezing is volgende week,The election is next week
referentie,reference,De referentie is toegevoegd,The reference is added
moe,tired,Hij is moe,He is tired
uitgekeken,looked,Hij heeft ernaar uitgekeken,He has looked forward to it
Sambre,Sambre,De Sambre is een rivier in België,The Sambre is a river in Belgium
Trust,trust,Trust is belangrijk in een relatie,Trust is important in a relationship
Investment,investment,Investment is belangrijk voor groei,Investment is important for growth
bedenkingen,reservations,Heb je bedenkingen,Do you have reservations
proporties,proportions,De proporties zijn correct,The proportions are correct
spelling,spelling,De spelling is verbeterd,The spelling is improved
bezorgde,delivered,De bezorgde post is aangekomen,The delivered mail has arrived
telefonisch,by telephone,Hij is telefonisch bereikbaar,He is reachable by telephone
Vrij,free,Vrij als een vogel,Free as a bird
socialisme,socialism,Het socialisme is een politieke stroming,Socialism is a political movement
overgebracht,transferred,Het geld werd overgebracht,The money was transferred
binnenland,domestic,Het binnenland is rustig,The domestic situation is calm
sociaal-economische,socio-economic,De sociaal-economische situatie is complex,The socio-economic situation is complex
wal,wall,De wal is hoog,The wall is high
Middeleeuwen,Middle Ages,De Middeleeuwen duurden duizend jaar,The Middle Ages lasted a thousand years
lof,praise,Hij kreeg lof voor zijn werk,He received praise for his work
handelaar,merchant,De handelaar verkoopt groenten,The merchant sells vegetables
taferelen,scenes,De taferelen waren chaotisch,The scenes were chaotic
seksualiteit,sexuality,Seksualiteit is een normaal onderdeel van het leven,Sexuality is a normal part of life
profiteert,benefits,Hij profiteert van de situatie,He benefits from the situation
zangeres,singer,De zangeres heeft een mooie stem,The singer has a beautiful voice
general,general,The general gave orders,The general gave orders
rentetarieven,interest rates,De rentetarieven zijn laag,The interest rates are low
verzamelaars,collectors,De verzamelaars kopen kunst,The collectors buy art
Iso,Iso,Iso is een standaard,Iso is a standard
its,its,The dog wagged its tail,The dog wagged its tail
nationaliteit,nationality,Zijn nationaliteit is Nederlands,His nationality is Dutch
uitgevonden,invented,De telefoon werd uitgevonden door Bell,The telephone was invented by Bell
informele,informal,Het was een informele bijeenkomst,It was an informal gathering
gekleurde,colored,De gekleurde ballonnen zijn mooi,The colored balloons are beautiful
correspondent,correspondent,Hij is correspondent in het buitenland,He is a correspondent abroad
doeleinden,purposes,Voor welke doeleinden,For which purposes
menig,many a,Menig persoon heeft dat gezegd,Many a person has said that
stijlen,styles,De stijlen zijn verschillend,The styles are different
woonden,lived,Zij woonden in Amsterdam,They lived in Amsterdam
rustiger,calmer,Hier is het rustiger,Here it is calmer
verkiest,prefers,Hij verkiest koffie boven thee,He prefers coffee over tea
world,world,The world is beautiful,The world is beautiful
Els,Els,Els is een meisjesnaam,Els is a girl's name
Scandinavische,Scandinavian,De Scandinavische landen zijn koud,The Scandinavian countries are cold
Martine,Martine,Martine is een Franse naam,Martine is a French name
Gallery,gallery,The gallery exhibits paintings,The gallery exhibits paintings
helden,heroes,De helden worden geëerd,The heroes are honored
You,you,You are my friend,You are my friend
Arte,Arte,Arte is een cultureel televisiekanaal,Arte is a cultural television channel
wird,wird,Er wird kommen,He will come
avec,with,Je viens avec toi,I come with you
gewenst,desired,Het gewenste resultaat is bereikt,The desired result has been achieved
eethuis,eatery,Het eethuis is gezellig,The eatery is cozy
geleide,guided,De geleide tour is interessant,The guided tour is interesting
onderzoeker,researcher,De onderzoeker werkt aan een nieuw project,The researcher works on a new project
bepalingen,provisions,De bepalingen zijn duidelijk,The provisions are clear
leent,borrows,Hij leent geld van de bank,He borrows money from the bank
mysterieuze,mysterious,Het is een mysterieus verhaal,It is a mysterious story
Welnu,well then,Welnu, laten we beginnen,Well then, let us begin
schildert,paints,Hij schildert een portret,He paints a portrait
schijnen,shine,De sterren schijnen,The stars shine
Klanten,customers,De klanten zijn tevreden,The customers are satisfied
geweldig,great,Het is geweldig,It is great
haal,achieve,Haal je doelen,Achieve your goals
loont,pays,Het loont de moeite,It is worth the effort
massa's,masses,De massa's mensen kwamen samen,The masses of people gathered
ambitieus,ambitious,Hij is ambitieus,He is ambitious
Jezus,Jesus,Jezus is een belangrijke figuur in het christendom,Jesus is an important figure in Christianity
Ontwikkelingssamenwerking,development cooperation,De ontwikkelingssamenwerking helpt arme landen,Development cooperation helps poor countries
overkomt,happens,Wat overkomt je,What happens to you
Mol,Mol,Mol is een gemeente in België,Mol is a municipality in Belgium
diamanten,diamonded,De diamanten ring is duur,The diamond ring is expensive
bevelen,orders,Hij geeft bevelen,He gives orders
meesterwerk,masterpiece,Het is een meesterwerk,It is a masterpiece
Vannacht,tonight,Vannacht slaap ik goed,Tonight I sleep well
gedronken,drunk,Hij heeft water gedronken,He has drunk water
variatie,variety,Er is veel variatie,There is a lot of variety
beschuldigingen,accusations,De beschuldigingen zijn ernstig,The accusations are serious
consequent,consistent,Hij is consequent in zijn gedrag,He is consistent in his behavior
blijk,sign,Het is een blijk van waardering,It is a sign of appreciation
betrof,concerned,De zaak betrof een groot bedrag,The matter concerned a large amount
objectieve,objective,Het is een objectieve beoordeling,It is an objective assessment
doorvoeren,implement,Zij voeren de wijzigingen door,They implement the changes
lost,solves,Hij lost het probleem op,He solves the problem
geraamd,estimated,De kosten werden geraamd op duizend euro,The costs were estimated at one thousand euros
herhaald,repeated,Hij herhaalde de vraag,He repeated the question
jongstleden,recent,De jongstleden verkiezingen waren spannend,The recent elections were exciting
Kempen,Kempen,De Kempen is een regio in België,The Kempen is a region in Belgium
uitgelegd,explained,Hij heeft het uitgelegd,He has explained it
intieme,intimate,Het is een intiem gesprek,It is an intimate conversation
gegoten,poured,Hij heeft water gegoten,He poured water
kiezer,voter,De kiezer gaat naar de stembus,The voter goes to the polls
Dries,Dries,Dries is een jongensnaam,Dries is a boy's name
lied,song,Het lied is mooi,The song is beautiful
groeiend,growing,De economie is groeiend,The economy is growing
vernieuwde,renewed,De vernieuwde versie is beter,The renewed version is better
consortium,consortium,Het consortium werkt samen aan het project,The consortium collaborates on the project
aannemers,contractors,De aannemers bouwen het huis,The contractors build the house
script,script,Het script is geschreven,The script is written
UK,UK,The UK is een land,The UK is a country
staatshervorming,state reform,De staatshervorming is complex,The state reform is complex
interesten,interests,De interesten zijn laag,The interests are low
Campo,Campo,Campo is Spaans voor veld,Campo is Spanish for field
Brederode,Brederode,Kasteel Brederode is een ruïne,Brederode Castle is a ruin
Sociaal,social,Sociaal werk is belangrijk,Social work is important
dictatuur,dictatorship,De dictatuur duurde twintig jaar,The dictatorship lasted twenty years
Johannes,Johannes,Johannes is een Bijbelse naam,Johannes is a Biblical name
experimenteren,experiment,Ze experimenteren met nieuwe recepten,They experiment with new recipes
afschaffen,abolish,Ze willen de wet afschaffen,They want to abolish the law
erom,about it,Hij vraagt erom,He asks about it
analyses,analyses,De analyses zijn grondig,The analyses are thorough
Westerse,Western,De Westerse cultuur verspreidt zich,Western culture is spreading
streep,line,Er staat een streep onder de tekst,There is a line under the text
versneld,accelerated,Het proces werd versneld,The process was accelerated
schudden,shake,Schud de fles voor gebruik,Shake the bottle before use
geenszins,by no means,Dat is geenszins waar,That is by no means true
verleiding,temptation,Weersta de verleiding,Resist the temptation
voeden,feed,Moeder voedt de baby,Mother feeds the baby
grof,coarse,Het zand is grof,The sand is coarse
Joris,Joris,Joris is een Nederlandse naam,Joris is a Dutch name
lelijk,ugly,De tekening is lelijk,The drawing is ugly
hekel,aversion,Ik heb een hekel aan regen,I have an aversion to rain
vaderland,fatherland,Hij vecht voor zijn vaderland,He fights for his fatherland
Von,Von,Von is een Duits adellijk voorvoegsel,Von is a German noble prefix
glimlach,smile,Zijn glimlach is warm,His smile is warm
subtiel,subtle,Het is een subtiel verschil,It is a subtle difference
uitdagingen,challenges,De uitdagingen zijn groot,The challenges are great
Ray,Ray,Ray is een Engelse naam,Ray is an English name
Mitsubishi,Mitsubishi,Mitsubishi maakt auto's,Mitsubishi makes cars
ABS,ABS,ABS is een remsysteem,ABS is a braking system
Vlaams-Brabant,Flemish Brabant,Vlaams-Brabant is een provincie in België,Flemish Brabant is a province in Belgium
misverstand,misunderstanding,Het is een misverstand,It is a misunderstanding
doch,but,Doch er is een probleem,But there is a problem
ecologisch,ecological,De ecologische voetafdruk is groot,The ecological footprint is large
Dutch,Dutch,Dutch is de Engelse naam voor Nederlands,Dutch is the English name for Dutch
tests,tests,De tests zijn succesvol,The tests are successful
bestuurlijke,administrative,De bestuurlijke organisatie is complex,The administrative organization is complex
gevolge,consequence,Ten gevolge van de regen,As a consequence of the rain
kortere,shorter,De kortere weg is sneller,The shorter road is faster
schenken,give,Schenk aandacht aan de details,Give attention to the details
poort,gate,De poort is gesloten,The gate is closed
compositie,composition,De compositie is mooi,The composition is beautiful
daalden,decreased,De prijzen daalden,The prices decreased
eiwitten,proteins,Eiwitten zijn belangrijk voor de spieren,Proteins are important for muscles
moreel,morale,Het moreel van de troepen is hoog,The morale of the troops is high
gooide,threw,Hij gooide de bal,He threw the ball
kostuums,costumes,De kostuums zijn prachtig,The costumes are beautiful
progressieve,progressive,Hij heeft progressieve ideeën,He has progressive ideas
England,England,England is een deel van het Verenigd Koninkrijk,England is a part of the United Kingdom
West-Europese,Western European,De West-Europese landen werken samen,The Western European countries cooperate
lijk,body,Het lijk werd gevonden in het bos,The body was found in the forest
Manhattan,Manhattan,Manhattan is een deel van New York,Manhattan is a part of New York
coöperatieve,cooperative,De coöperatieve winkel is van de leden,The cooperative shop is owned by the members
wiskunde,mathematics,Wiskunde is moeilijk,Mathematics is difficult
onbelangrijk,unimportant,Dat is onbelangrijk,That is unimportant
baron,baron,De baron woont in een kasteel,The baron lives in a castle
Voortaan,henceforth,Voortaan doe ik het anders,Henceforth I will do it differently
Total,total,The total cost is high,The total cost is high
blokjes,blocks,De blokjes zijn van hout,The blocks are made of wood
Tim,Tim,Tim is een jongensnaam,Tim is a boy's name
Ackermans,Ackermans,Ackermans is een familiebedrijf,Ackermans is a family business
Elio,Elio,Elio komt uit Italië,Elio comes from Italy
bedrijfswereld,business world,De bedrijfswereld is competitief,The business world is competitive
Seghers,Seghers,Seghers is een Belgische naam,Seghers is a Belgian name
motief,motive,Zijn motief was geld,His motive was money
versleten,worn out,De schoenen zijn versleten,The shoes are worn out
verrekend,settled,De rekening is verrekend,The bill is settled
genot,pleasure,Hij leest met veel genot,He reads with great pleasure
voltooid,completed,Het werk is voltooid,The work is completed
bovenste,upper,De bovenste plank is hoog,The upper shelf is high
antiek,antique,Het meubel is antiek,The furniture is antique
Hebt,have,Hebt u een moment,Do you have a moment
verheven,elevated,Hij heeft verheven idealen,He has elevated ideals
raadsel,riddle,Het is een raadsel,It is a riddle
Noorden,north,Het Noorden is koud,The north is cold
meewerken,cooperate,Zij werken mee aan het project,They cooperate on the project
Kosto,Kosto,Kosto is een Nederlandse politicus,Kosto is a Dutch politician
Love,love,Love is all you need,Love is all you need
decoratie,decoration,De decoratie is prachtig,The decoration is beautiful
archieven,archives,De archieven zijn toegankelijk,The archives are accessible
buigt,bends,Hij buigt voor de koning,He bends before the king
boycot,boycott,De boycot is effectief,The boycott is effective
ongelijk,unequal,De strijd is ongelijk,The fight is unequal
omloop,circulation,De munt is in omloop,The coin is in circulation
Exchange,exchange,The exchange rate is favorable,The exchange rate is favorable
huurders,tenants,De huurders betalen huur,The tenants pay rent
leverden,delivered,Zij leverden de goederen,They delivered the goods
very,very,It is very good,It is very good
couture,couture,Haute couture is duur,Haute couture is expensive
ekonomie,economy,De ekonomie groeit,The economy grows
Faes,Faes,Faes is een Belgische naam,Faes is a Belgian name
plaatsvindt,takes place,Het evenement vindt plaats morgen,The event takes place tomorrow
sporten,sports,Sporten is gezond,Playing sports is healthy
vlotte,smooth,Het verkeer is vlot,The traffic is smooth
Schotland,Scotland,Schotland is een deel van het VK,Scotland is a part of the UK
gebaar,gesture,Het was een vriendelijk gebaar,It was a kind gesture
dien,serve,Dien het eten op,Serve the food
verbiedt,forbids,De wet verbiedt roken,The law forbids smoking
fragmenten,fragments,De fragmenten van het glas zijn scherp,The fragments of the glass are sharp
Mode,fashion,Mode verandert elk seizoen,Fashion changes every season
intelligent,intelligent,Hij is zeer intelligent,He is very intelligent
gegrepen,seized,Hij werd gegrepen door paniek,He was seized by panic
Middellandse,Mediterranean,De Middellandse Zee is warm,The Mediterranean Sea is warm
reiziger,traveler,De reiziger reist de wereld rond,The traveler travels around the world
universitair,university,Het universitair onderwijs is uitstekend,The university education is excellent
bewerking,processing,De bewerking van data is snel,The processing of data is fast
bon,voucher,De bon is geldig tot morgen,The voucher is valid until tomorrow
uniform,uniform,Het uniform is blauw,The uniform is blue
vuil,dirty,De auto is vuil,The car is dirty
echtscheiding,divorce,De echtscheiding is definitief,The divorce is final
gevarieerd,varied,Het menu is gevarieerd,The menu is varied
bezat,owned,Hij bezat een groot huis,He owned a large house
And,and,And so on,And so on
dynamisch,dynamic,Hij is een dynamisch persoon,He is a dynamic person
kanselier,chancellor,De kanselier geeft een toespraak,The chancellor gives a speech
Nord,north,Nord is Frans voor noorden,Nord is French for north
Equity,equity,Equity is eigen vermogen,Equity is shareholders equity
Finance,finance,Hij werkt in finance,He works in finance
Servais,Servais,Servais is een Belgische naam,Servais is a Belgian name
regelgeving,regulations,De regelgeving is complex,The regulations are complex
tip,tip,Hier is een tip,Here is a tip
illustreren,illustrate,Illustreer je verhaal met voorbeelden,Illustrate your story with examples
werkloze,unemployed,De werkloze zoekt een baan,The unemployed person looks for a job
lidmaatschap,membership,Zijn lidmaatschap is verlopen,His membership has expired
letten,pay attention,Let op de details,Pay attention to the details
baby's,babies,De baby's slapen,The babies sleep
blinde,blind,De blinde man gebruikt een stok,The blind man uses a cane
depressie,depression,Depressie is een ernstige ziekte,Depression is a serious illness
rendabele,profitable,Het is een rendabele investering,It is a profitable investment
modieuze,fashionable,Zij draagt modieuze kleding,She wears fashionable clothing
bewering,claim,Zijn bewering is onjuist,His claim is incorrect
magere,lean,Het is magere yoghurt,It is lean yogurt
verhuurd,rented,Het huis wordt verhuurd,The house is rented
raar,strange,Dat is raar,That is strange
gebruikten,used,Zij gebruikten de oude methode,They used the old method
gematigde,moderate,Hij heeft gematigde opvattingen,He has moderate views
overtuigend,convincing,Zijn argument is overtuigend,His argument is convincing
aktie,action,De aktie is gestart,The action has started
Achteraf,afterwards,Achteraf begreep ik het,Afterwards I understood it
hoofdzaak,main thing,De hoofdzaak is dat je gezond bent,The main thing is that you are healthy
verminderde,reduced,De verminderde prijs is aantrekkelijk,The reduced price is attractive
vals,false,Hij gaf valse informatie,He gave false information
terugtrekking,withdrawal,De terugtrekking van de troepen begint,The withdrawal of troops begins
waarderen,appreciate,Ik waardeer je hulp,I appreciate your help
benaderd,approached,Hij werd benaderd voor de job,He was approached for the job
allang,long ago,Dat is allang gebeurd,That happened long ago
Orde,order,Zet het op orde,Put it in order
hoofdkantoor,head office,Het hoofdkantoor is in Brussel,The head office is in Brussels
bediend,served,De klant werd bediend,The customer was served
WAO,WAO,De WAO is een Nederlandse uitkering,The WAO is a Dutch benefit
Koude,cold,De koude winter is streng,The cold winter is harsh
goden,gods,De Griekse goden leefden op de Olympus,The Greek gods lived on Olympus
Warren,Warren,Warren Buffett is een investeerder,Warren Buffett is an investor
terugtrekken,withdraw,Zij trekken zich terug,They withdraw
composities,compositions,De muzikale composities zijn mooi,The musical compositions are beautiful
filosoof,philosopher,De filosoof denkt na over het leven,The philosopher thinks about life
Moslims,Muslims,De moslims bidden vijf keer per dag,The Muslims pray five times a day
bespreking,discussion,De bespreking duurt lang,The discussion takes a long time
dekt,covers,De verzekering dekt de schade,The insurance covers the damage
Nieuw-Zeeland,New Zealand,Nieuw-Zeeland is een mooi land,New Zealand is a beautiful country
senior,senior,Hij is een senior medewerker,He is a senior employee
kledij,clothing,De kledij is modieus,The clothing is fashionable
gerespecteerd,respected,Hij is een gerespecteerd arts,He is a respected doctor
boog,bow,De boog is van hout,The bow is made of wood
heerlijke,delicious,Het eten is heerlijk,The food is delicious
schaffen,obtain,Zij schaffen nieuwe meubels aan,They obtain new furniture
ce,ce,Ce est la vie,Ce est la vie
JAN,JAN,JAN is een afkorting,JAN is an abbreviation
plotse,sudden,Er was een plotse verandering,There was a sudden change
ziekteverzekering,health insurance,De ziekteverzekering dekt de kosten,Health insurance covers the costs
Versace,Versace,Versace is een Italiaans modemerk,Versace is an Italian fashion brand
Damme,Damme,Damme is een stad in België,Damme is a city in Belgium
Anhyp,Anhyp,Anhyp is een bank,Anhyp is a bank
ondergang,downfall,De ondergang van het rijk was snel,The downfall of the empire was fast
chip,chip,De chip is klein maar krachtig,The chip is small but powerful
romantisch,romantic,Het is een romantisch gebaar,It is a romantic gesture
begrijpelijk,understandable,Dat is begrijpelijk,That is understandable
gemist,missed,Hij heeft de bus gemist,He missed the bus
hoofden,heads,De hoofden van de afdeling vergaderen,The heads of the department meet
vriendelijke,friendly,Het is een vriendelijke hond,It is a friendly dog
privé,private,Dit is privé-eigendom,This is private property
begrafenis,funeral,De begrafenis is morgen,The funeral is tomorrow
Afghanistan,Afghanistan,Afghanistan is een bergachtig land,Afghanistan is a mountainous country
stimuleert,stimulates,Oefening stimuleert de bloedsomloop,Exercise stimulates blood circulation
waardevol,valuable,Het is een waardevol advies,It is valuable advice
stakingen,strikes,De stakingen leggen het werk stil,The strikes stop the work
vloog,flew,Hij vloog naar Londen,He flew to London
Angelsaksische,Anglo-Saxon,De Angelsaksische cultuur is invloedrijk,The Anglo-Saxon culture is influential
notaris,notary,De notaris maakt de akte op,The notary draws up the deed
rentestijging,interest rate rise,De rentestijging is onverwacht,The interest rate rise is unexpected
Waals,Walloon,De Waalse regering is gevestigd in Namen,The Walloon government is based in Namur
katholiek,Catholic,Hij is katholiek,He is Catholic
oranje,orange,De sinaasappel is oranje,The orange is orange
vel,sheet,Het vel papier is wit,The sheet of paper is white
geformuleerd,formulated,De vraag is helder geformuleerd,The question is clearly formulated
dealers,dealers,De dealers verkopen auto's,The dealers sell cars
gezellige,cozy,Het is een gezellig café,It is a cozy café
Rabobank,Rabobank,Rabobank is een Nederlandse bank,Rabobank is a Dutch bank
zuurstof,oxygen,Zuurstof is nodig om te leven,Oxygen is needed to live
belandt,ends up,Hij belandt in het ziekenhuis,He ends up in the hospital
schommelen,fluctuate,De prijzen schommelen sterk,Prices fluctuate strongly
verzorging,care,De verzorging van de patiënt is goed,The care of the patient is good
voordoen,occur,Er doen zich problemen voor,Problems occur
zuinig,economical,Hij is zuinig met geld,He is economical with money
wanhoop,despair,Hij is in wanhoop,He is in despair
gevulde,stuffed,De gevulde kalkoen is klaar,The stuffed turkey is ready
onderschreven,endorsed,Hij heeft het plan onderschreven,He endorsed the plan
betrouwbaar,reliable,Hij is een betrouwbare vriend,He is a reliable friend
tij,tide,Het tij keert,The tide turns
tussenpersoon,intermediary,De tussenpersoon regelt de verkoop,The intermediary arranges the sale
woonplaats,place of residence,Zijn woonplaats is Amsterdam,His place of residence is Amsterdam
verval,expiry,Het verval van de pas is volgend jaar,The expiry of the passport is next year
diagnose,diagnosis,De diagnose is gesteld,The diagnosis has been made
Beatrix,Beatrix,Koningin Beatrix regeerde tot 2013,Queen Beatrix reigned until 2013
Annie,Annie,Annie is een meisjesnaam,Annie is a girl's name
prent,print,De prent hangt aan de muur,The print hangs on the wall
renners,riders,De renners fietsen de berg op,The riders cycle up the mountain
takken,branches,De takken van de boom zijn sterk,The branches of the tree are strong
zetelen,sit,Zij zetelen in het bestuur,They sit on the board
god,god,God is liefde,God is love
Lufthansa,Lufthansa,Lufthansa is een Duitse luchtvaartmaatschappij,Lufthansa is a German airline
Eyskens,Eyskens,Eyskens is een Belgisch politicus,Eyskens is a Belgian politician
most,must,You most go now,You must go now
Oudenaarde,Oudenaarde,Oudenaarde is een stad in België,Oudenaarde is a city in Belgium
Raf,Raf,Raf is een jongensnaam,Raf is a boy's name
geweldige,amazing,Het is een geweldige film,It is an amazing film
toegeschreven,attributed,Hij heeft het werk toegeschreven aan Rembrandt,He attributed the work to Rembrandt
opgerichte,founded,De opgerichte organisatie is succesvol,The founded organization is successful
Berg,mountain,De berg is hoog,The mountain is high
dichters,poets,De dichters schrijven gedichten,The poets write poems
gezongen,sung,Zij hebben het lied gezongen,They have sung the song
tent,tent,De tent is opgezet,The tent is set up
beschadigd,damaged,De auto is beschadigd,The car is damaged
innerlijke,inner,De innerlijke rust is belangrijk,Inner peace is important
verschijning,appearance,Zijn verschijning was indrukwekkend,His appearance was impressive
voluit,fully,Zeg het voluit,Say it fully
handelt,acts,Hij handelt in overeenstemming met de regels,He acts in accordance with the rules
tapijten,carpets,De tapijten zijn handgemaakt,The carpets are handmade
Oxford,Oxford,Oxford is een beroemde universiteit,Oxford is a famous university
Best,best,Best quality is belangrijk,Best quality is important
nationalisme,nationalism,Nationalisme kan gevaarlijk zijn,Nationalism can be dangerous
trager,slower,De computer is trager geworden,The computer has become slower
Hill,hill,The hill is steep,The hill is steep
opportuniteiten,opportunities,Er zijn veel opportuniteiten,There are many opportunities
gestimuleerd,stimulated,De economie werd gestimuleerd,The economy was stimulated
onmiskenbaar,unmistakable,Zijn talent is onmiskenbaar,His talent is unmistakable
terugvinden,find back,Kun je de sleutels terugvinden,Can you find the keys back
grap,joke,Het is een grap,It is a joke
inziens,in my opinion,Mijns inziens is dat juist,In my opinion that is correct
dol,mad,Hij is dol op chocolade,He is mad about chocolate
Texas,Texas,Texas is een grote staat in de VS,Texas is a large state in the US
grondstof,raw material,De grondstof is schaars,The raw material is scarce
verduidelijkt,clarified,Hij heeft de situatie verduidelijkt,He clarified the situation
bestonden,existed,De dinosaurussen bestonden lang geleden,The dinosaurs existed long ago
gedetailleerde,detailed,Het is een gedetailleerd rapport,It is a detailed report
Landen,countries,De landen werken samen,The countries cooperate
secundaire,secondary,Secundaire scholen zijn voor tieners,Secondary schools are for teenagers
tevoorschijn,appear,De kat komt tevoorschijn,The cat appears
just,just,Just in time,Just in time
geschenk,gift,Het geschenk is mooi ingepakt,The gift is beautifully wrapped
leg,lay,Leg het boek op tafel,Lay the book on the table
Ludo,Ludo,Ludo is een bordspel,Ludo is a board game
Bulgarije,Bulgaria,Bulgarije is een land in Europa,Bulgaria is a country in Europe
Da,there,Da ist der Hund,There is the dog
Jordanie,Jordan,Jordanië is een land in het Midden-Oosten,Jordan is a country in the Middle East
